date,description,expense,income,savings,username,user_id
1/1/2018,Amazon,11.11,82475,82463.89,Lilit,1
1/2/2018,Mortgage Payment,1247.44,32555,31307.56,Lilit,36
1/2/2018,Thai Restaurant,24.22,101738,101713.78,Lilit,52
1/3/2018,Credit Card Payment,2298.09,123424,121125.91,Lilit,985
1/4/2018,Netflix,11.76,171574,171562.24,Lilit,973
1/5/2018,American Tavern,25.85,100036,100010.15,Lilit,961
1/6/2018,Hardware Store,18.45,143250,143231.55,Lilit,949
1/8/2018,Gas Company,45,150980,150935,Lilit,937
1/8/2018,Hardware Store,15.38,192247,192231.62,Lilit,925
1/9/2018,Spotify,10.69,67932,67921.31,Elena,913
1/10/2018,Phone Company,89.46,280061,279971.54,Elena,901
1/11/2018,Shell,34.87,278036,278001.13,Elena,889
1/11/2018,Grocery Store,43.54,19226,19182.46,Elena,877
1/12/2018,Biweekly Paycheck,2000,254359,252359,Elena,865
1/13/2018,Pizza Place,32.91,302834,302801.09,Elena,853
1/13/2018,Amazon,39.05,647116,647076.95,Elena,841
1/15/2018,Grocery Store,44.19,421878,421833.81,Elena,829
1/15/2018,American Tavern,64.11,986379,986314.89,Elena,817
1/16/2018,City Water Charges,35,213047,213012,Elena,805
1/16/2018,Power Company,60,735566,735506,Elena,793
1/19/2018,Biweekly Paycheck,2000,366102,364102,Elena,781
1/20/2018,Amazon,50.21,809623,809572.79,Elena,769
1/22/2018,Credit Card Payment,554.99,467014,466459.01,Elena,757
1/22/2018,Credit Card Payment,309.81,668568,668258.19,Elena,745
1/22/2018,Credit Card Payment,554.99,339112,338557.01,Elena,733
1/22/2018,Hardware Store,17.38,622170,622152.62,Ara,721
1/23/2018,Credit Card Payment,309.81,434427,434117.19,Ara,709
1/24/2018,Starbucks,3,655846,655843,Ara,697
1/25/2018,Internet Service Provider,69.99,987935,987865.01,Ara,685
1/29/2018,Shell,30.42,702774,702743.58,Ara,673
1/29/2018,Thai Restaurant,25,225392,225367,Ara,661
1/29/2018,Brunch Restaurant,17.62,296573,296555.38,Ara,649
2/1/2018,Grocery Store,27.79,227702,227674.21,Ara,637
2/1/2018,Amazon,11.11,864090,864078.89,Ara,625
2/2/2018,Mortgage Payment,1247.44,440605,439357.56,Ara,613
2/2/2018,Biweekly Paycheck,2000,954660,952660,Ara,601
2/3/2018,Japanese Restaurant,57.02,255577,255519.98,Ara,589
2/4/2018,Netflix,11.76,337352,337340.24,Ara,577
2/5/2018,Credit Card Payment,145.14,660244,660098.86,Ara,565
2/6/2018,Credit Card Payment,154.13,401351,401196.87,Ara,553
2/7/2018,Credit Card Payment,154.13,678842,678687.87,Ara,541
2/7/2018,Gas Company,65,478861,478796,Ara,529
2/9/2018,Barbershop,30,804938,804908,Ara,517
2/9/2018,Spotify,10.69,888341,888330.31,Ara,505
2/10/2018,Bojangles,10.66,262414,262403.34,Ara,493
2/11/2018,Fancy Restaurant,106.8,249353,249246.2,Ara,481
2/12/2018,Shell,36.47,892016,891979.53,Ara,469
2/12/2018,Phone Company,89.52,313626,313536.48,Ara,457
2/14/2018,Brewing Company,14,314366,314352,Ara,445
2/15/2018,American Tavern,10,551340,551330,Ara,433
2/15/2018,Power Company,60,735037,734977,Ara,421
2/16/2018,Biweekly Paycheck,2000,574023,572023,Ara,409
2/16/2018,Brunch Restaurant,8,402300,402292,Ara,397
2/16/2018,City Water Charges,35,733125,733090,Ara,385
2/20/2018,Grocery Store,35.95,545977,545941.05,Ara,373
2/20/2018,Mexican Restaurant,23.51,371572,371548.49,Ara,361
2/21/2018,Starbucks,2,326283,326281,Ara,349
2/22/2018,Starbucks,4,279051,279047,Ara,337
2/26/2018,Credit Card Payment,765.37,900101,899335.63,Ara,325
2/26/2018,Credit Card Payment,156.11,545286,545129.89,Ara,313
2/26/2018,Credit Card Payment,765.37,722587,721821.63,Ara,301
2/26/2018,Internet Service Provider,74.99,411062,410987.01,Ara,289
2/26/2018,American Tavern,85.52,660910,660824.48,Ara,277
2/26/2018,Gas Station,32.21,557370,557337.79,Ara,265
2/27/2018,Credit Card Payment,156.11,549794,549637.89,Ara,253
3/1/2018,Grocery Store,32.07,340133,340100.93,Ara,241
3/1/2018,Amazon,13.13,265417,265403.87,Ara,632
3/2/2018,Mortgage Payment,1247.44,358185,356937.56,Ara,607
3/2/2018,Biweekly Paycheck,2000,991685,989685,Ara,582
3/3/2018,Grocery Store,23.74,533762,533738.26,Ara,557
3/4/2018,Grocery Store,10.69,829742,829731.31,Ara,532
3/4/2018,Netflix,11.76,441527,441515.24,Ara,507
3/4/2018,BBQ Restaurant,42.24,550782,550739.76,Ara,482
3/5/2018,Starbucks,3,835872,835869,Ara,457
3/5/2018,Credit Card Payment,761.59,540497,539735.41,Ara,432
3/5/2018,Credit Card Payment,761.59,525977,525215.41,Ara,407
3/7/2018,Starbucks,3.5,789393,789389.5,Ara,382
3/8/2018,BP,34.9,689478,689443.1,Ara,357
3/8/2018,Gas Company,52,499079,499027,Armen,332
3/9/2018,Grocery Store,20.72,665107,665086.28,Armen,307
3/9/2018,Grocery Store,5.09,998077,998071.91,Armen,282
3/9/2018,Spotify,10.69,934205,934194.31,Armen,257
3/12/2018,Grocery Store,19.35,823426,823406.65,Armen,232
3/12/2018,Phone Company,89.52,282910,282820.48,Armen,207
3/13/2018,Amazon,45.75,418675,418629.25,Armen,182
3/14/2018,Grocery Store,22.5,804949,804926.5,Armen,157
3/14/2018,Brunch Restaurant,8.49,686601,686592.51,Armen,132
3/15/2018,Starbucks,3.5,561220,561216.5,Armen,107
3/15/2018,Power Company,60,762534,762474,Armen,82
3/16/2018,Biweekly Paycheck,2000,327947,325947,Armen,57
3/17/2018,Brewing Company,19.5,492986,492966.5,Armen,32
3/17/2018,Pizza Place,23.34,369237,369213.66,Armen,758
3/19/2018,Mediterranean Restaurant,36.48,983839,983802.52,Armen,14526
3/19/2018,City Water Charges,35,776716,776681,Armen,15809
3/20/2018,Amazon,14.97,664632,664617.03,Armen,58974
3/22/2018,BP,30.55,466727,466696.45,Armen,58724
3/23/2018,Credit Card Payment,559.91,896384,895824.09,Armen,58474
3/23/2018,Credit Card Payment,559.91,712001,711441.09,Armen,58224
3/23/2018,Grocery Store,11.76,246865,246853.24,Armen,57974
3/26/2018,Internet Service Provider,74.99,858729,858654.01,Armen,57724
3/28/2018,Grocery Store,16.06,581882,581865.94,Armen,57474
3/28/2018,Pizza Place,24.98,646426,646401.02,Armen,57224
3/29/2018,Steakhouse,17.64,687088,687070.36,Armen,56974
3/30/2018,Grocery Store,9.09,973026,973016.91,Armen,56724
